Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),149,7%
Macronutrients,Fat,0.49g,1%
Macronutrients,Protein,9.1g,18%
Macronutrients,Carbohydrate,27.9g,10%
Macronutrients,Sugars,0.36g,1%
Macronutrients,Fiber,5.3g,19%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.13g,1%
Macronutrients,Net-Carbs,22.6g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,52mg,4%
Minerals,"Iron, Fe",2.3mg,13%
Minerals,"Potassium, K",508mg,11%
Minerals,Magnesium,65mg,15%
Minerals,"Phosphorus, P",165mg,13%
Minerals,Sodium,2mg,0%
Minerals,"Zinc, Zn",0.96mg,9%
Minerals,"Copper, Cu",0.27mg,30%
Minerals,Manganese,0.55mg,24%
Minerals,"Selenium, Se",1.4mcg,3%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.26mg,21%
Vitamins,Riboflavin (B2),0.06mg,5%
Vitamins,Niacin (B3),0.57mg,4%
Vitamins,Vitamin B5 (PA),0.3mg,6%
Vitamins,Vitamin B6,0.18mg,10%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),168mcg,42%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,168mcg,42%
Vitamins,Folate DFE,168mcg,42%
Vitamins,Choline,36.9mg,7%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,0.98mg,7%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,3.7mcg,3%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,61.2g,
Other,Ash,1g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,-2.56,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.042g,
Fats,Total Polyunsaturated,0.21g,
Fats,Omega 3s,0.096g,6%
Fats,Omega 6s,0.114g,1%
Fats,Omega 3 to Omega 6 Ratio,0.84,
Fats,Omega 6 to Omega 3 Ratio,1.19,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
