Categories,Name,Measurement,Daily Value
Macronutrients,Weight,360g,
Macronutrients,Calories (kcal),54,3%
Macronutrients,Fat,0.54g,1%
Macronutrients,Protein,4.9g,10%
Macronutrients,Carbohydrate,10.3g,4%
Macronutrients,Sugars,2.8g,6%
Macronutrients,Fiber,4.7g,17%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.07g,0%
Macronutrients,Net-Carbs,5.7g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,129.6mg,10%
Minerals,"Iron, Fe",3.1mg,17%
Minerals,"Potassium, K",698.4mg,15%
Minerals,Magnesium,46.8mg,11%
Minerals,"Phosphorus, P",104.4mg,8%
Minerals,Sodium,100.8mg,4%
Minerals,"Zinc, Zn",0.65mg,6%
Minerals,"Copper, Cu",0.1mg,12%
Minerals,Manganese,0.9mg,39%
Minerals,"Selenium, Se",2.2mcg,4%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",4mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",1332mcg,148%
Vitamins,Vitamin C,33.1mg,37%
Vitamins,Thiamin (B1),0.25mg,21%
Vitamins,Riboflavin (B2),0.29mg,22%
Vitamins,Niacin (B3),1.4mg,8%
Vitamins,Vitamin B5 (PA),0.48mg,10%
Vitamins,Vitamin B6,0.32mg,19%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),136.8mcg,34%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,136.8mcg,34%
Vitamins,Folate DFE,136.8mcg,34%
Vitamins,Choline,49mg,9%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",15994.8mcg,148%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",26658IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,6228mcg,
Vitamins,Vitamin E,0.79mg,5%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,454.7mcg,379%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,341.9g,
Other,Ash,2g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,-11.39,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,0g,
Carbs & Sugars,Glucose (Dextrose),1.3g,
Carbs & Sugars,Fructose,1.5g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,0g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.022g,
Fats,Total Polyunsaturated,0.295g,
Fats,Omega 3s,0.209g,13%
Fats,Omega 6s,0.086g,1%
Fats,Omega 3 to Omega 6 Ratio,2.42,
Fats,Omega 6 to Omega 3 Ratio,0.41,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
