Categories,Name,Measurement,Daily Value
Macronutrients,Weight,52g,
Macronutrients,Calories (kcal),126,6%
Macronutrients,Fat,1.1g,1%
Macronutrients,Protein,4.9g,10%
Macronutrients,Carbohydrate,25.3g,9%
Macronutrients,Sugars,0.88g,2%
Macronutrients,Fiber,2.6g,9%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.16g,1%
Macronutrients,Net-Carbs,22.7g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,100.4mg,8%
Minerals,"Iron, Fe",1.6mg,9%
Minerals,"Potassium, K",105mg,2%
Minerals,Magnesium,21.8mg,5%
Minerals,"Phosphorus, P",65mg,5%
Minerals,Sodium,199.7mg,8%
Minerals,"Zinc, Zn",0.63mg,6%
Minerals,"Copper, Cu",0.08mg,9%
Minerals,Manganese,0.58mg,25%
Minerals,"Selenium, Se",16.5mcg,30%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.2mg,16%
Vitamins,Riboflavin (B2),0.15mg,11%
Vitamins,Niacin (B3),1.7mg,11%
Vitamins,Vitamin B5 (PA),0.11mg,2%
Vitamins,Vitamin B6,0.05mg,3%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),30.7mcg,8%
Vitamins,Folic acid,15.1mcg,4%
Vitamins,Food Folate,15.6mcg,4%
Vitamins,Folate DFE,41.1mcg,10%
Vitamins,Choline,8.2mg,1%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",1mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",1IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,49.4mcg,
Vitamins,Vitamin E,0.25mg,2%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,0.47mcg,0%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,19.3g,
Other,Ash,1g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,0.7,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.159g,
Fats,Total Polyunsaturated,0.471g,
Fats,Omega 3s,27.04g,1690%
Fats,Omega 6s,0.444g,3%
Fats,Omega 3 to Omega 6 Ratio,60.96,
Fats,Omega 6 to Omega 3 Ratio,0.02,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0.52g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),1.04g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),0.144g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),0.014g,
Omega-6 Fats,Arachidic Acid (20:0),--g,
Omega-6 Fats,Behenic Acid (22:0),--g,
Omega-6 Fats,Lignoceric Acid (24:0),--g,
Monounsaturated Fats,Myristoleic Acid (14:1),--g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),20.8g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),0.137g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),--g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),0.444g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,27.04g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),--g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0.52g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),--g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,--g,
Phytosterols (Plant Sterols),Stigmasterol,--g,
Phytosterols (Plant Sterols),Campesterol,--g,
Phytosterols (Plant Sterols),Beta-sitosterol,--g,
Essential Amino Acids,Histidine,109mg,16%
Essential Amino Acids,Isoleucine,192mg,14%
Essential Amino Acids,Leucine,337mg,12%
Essential Amino Acids,Lysine,153mg,7%
Essential Amino Acids,Methionine,82mg,11%
Essential Amino Acids,Phenylalanine,233mg,27%
Essential Amino Acids,Threonine,150mg,14%
Essential Amino Acids,Tryptophan,63mg,23%
Essential Amino Acids,Valine,221mg,12%
Conditionally Essential Amino Acids,Arginine,203mg,
Conditionally Essential Amino Acids,Cystine,102mg,36%
Conditionally Essential Amino Acids,Glycine,185mg,
Conditionally Essential Amino Acids,Proline,487mg,
Conditionally Essential Amino Acids,Tyrosine,145mg,17%
Non-Essential Amino Acids,Alanine,181mg,
Non-Essential Amino Acids,Aspartic acid,257mg,
Non-Essential Amino Acids,Betaine,--mg,
Non-Essential Amino Acids,Glutamic acid,1476mg,
Non-Essential Amino Acids,Hydroxyproline,--mg,
Non-Essential Amino Acids,Serine,231mg,
