Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),21,1%
Macronutrients,Fat,0.18g,0%
Macronutrients,Protein,2.1g,4%
Macronutrients,Carbohydrate,4.1g,1%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,--g,--%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.05g,0%
Macronutrients,Net-Carbs,4.1g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,209mg,16%
Minerals,"Iron, Fe",2.3mg,13%
Minerals,"Potassium, K",641mg,14%
Minerals,Magnesium,55mg,13%
Minerals,"Phosphorus, P",72mg,6%
Minerals,Sodium,21mg,1%
Minerals,"Zinc, Zn",0.88mg,8%
Minerals,"Copper, Cu",0.16mg,18%
Minerals,Manganese,0.86mg,37%
Minerals,"Selenium, Se",0.9mcg,2%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",139mcg,15%
Vitamins,Vitamin C,41.1mg,46%
Vitamins,Thiamin (B1),0.02mg,2%
Vitamins,Riboflavin (B2),0.13mg,10%
Vitamins,Niacin (B3),0.56mg,3%
Vitamins,Vitamin B5 (PA),0.06mg,1%
Vitamins,Vitamin B6,0.18mg,10%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),57mcg,14%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,57mcg,14%
Vitamins,Folate DFE,57mcg,14%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",2770IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,91.5g,
Other,Ash,2g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,-13.99,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.041g,
Fats,Total Polyunsaturated,0.08g,
Fats,Omega 3s,0.001g,0%
Fats,Omega 6s,0.079g,0%
