Categories,Name,Measurement,Daily Value
Macronutrients,Weight,108g,
Macronutrients,Calories (kcal),420,21%
Macronutrients,Fat,33.6g,43%
Macronutrients,Protein,27.6g,55%
Macronutrients,Carbohydrate,1.7g,1%
Macronutrients,Sugars,1.7g,3%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,125.3mg,42%
Macronutrients,Saturated Fats,20.7g,104%
Macronutrients,Net-Carbs,1.7g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,594mg,46%
Minerals,"Iron, Fe",0.25mg,1%
Minerals,"Potassium, K",69.1mg,1%
Minerals,Magnesium,15.1mg,4%
Minerals,"Phosphorus, P",373.7mg,30%
Minerals,Sodium,864mg,36%
Minerals,"Zinc, Zn",3.8mg,34%
Minerals,"Copper, Cu",0.03mg,3%
Minerals,Manganese,0.02mg,1%
Minerals,"Selenium, Se",15.7mcg,28%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",281.9mcg,31%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.02mg,2%
Vitamins,Riboflavin (B2),0.22mg,17%
Vitamins,Niacin (B3),0.16mg,1%
Vitamins,Vitamin B5 (PA),0.46mg,9%
Vitamins,Vitamin B6,0.09mg,5%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),6.5mcg,2%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,6.5mcg,2%
Vitamins,Folate DFE,6.5mcg,2%
Vitamins,Choline,16.6mg,3%
Vitamins,Vitamin B12,1.8mcg,76%
Vitamins,Retinol,278.6mcg,
Vitamins,"Carotene, beta",34.6mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",986IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,0.29mg,2%
Vitamins,Vitamin D,0.65mcg,3%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,0.65mcg,
Vitamins,Vitamin D (IU),24.8IU,3%
Vitamins,Vitamin K,2.8mcg,2%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,41g,
Other,Ash,4g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,17.8,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,9.382g,
Fats,Total Polyunsaturated,1.786g,
Fats,Omega 3s,0.853g,53%
Fats,Omega 6s,0.933g,5%
Fats,Omega 3 to Omega 6 Ratio,0.91,
Fats,Omega 6 to Omega 3 Ratio,1.09,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
