Categories,Name,Measurement,Daily Value
Macronutrients,Weight,113g,
Macronutrients,Calories (kcal),400,20%
Macronutrients,Fat,0.23g,0%
Macronutrients,Protein,40.1g,80%
Macronutrients,Carbohydrate,58.5g,21%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,2.3mg,1%
Macronutrients,Saturated Fats,0.14g,1%
Macronutrients,Net-Carbs,58.5g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,316.4mg,24%
Minerals,"Iron, Fe",0.36mg,2%
Minerals,"Potassium, K",768.4mg,16%
Minerals,Magnesium,67.8mg,16%
Minerals,"Phosphorus, P",1142.4mg,91%
Minerals,Sodium,2576.4mg,107%
Minerals,"Zinc, Zn",4.6mg,41%
Minerals,"Copper, Cu",0.02mg,2%
Minerals,Manganese,0.01mg,0%
Minerals,"Selenium, Se",30.8mcg,56%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",2.3mcg,0%
Vitamins,Vitamin C,7.6mg,8%
Vitamins,Thiamin (B1),0.18mg,15%
Vitamins,Riboflavin (B2),1.9mg,143%
Vitamins,Niacin (B3),0.75mg,5%
Vitamins,Vitamin B5 (PA),3.7mg,75%
Vitamins,Vitamin B6,0.34mg,20%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),56.5mcg,14%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,56.5mcg,14%
Vitamins,Folate DFE,56.5mcg,14%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,4.5mcg,187%
Vitamins,Retinol,1.1mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",9IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,5.5g,
Other,Ash,9g,
Other,Alcohol,0g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,39.82,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.066g,
Fats,Total Polyunsaturated,0.008g,
Fats,Omega 3s,0.003g,0%
Fats,Omega 6s,0.006g,0%
Fats,Omega 3 to Omega 6 Ratio,0.6,
Fats,Omega 6 to Omega 3 Ratio,1.67,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),--g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),--g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),--g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0.007g,
Omega-6 Fats,Caproic (6:0),0.005g,
Omega-6 Fats,Caprylic Acid (8:0),0.002g,
Omega-6 Fats,Capric Acid (10:0),0.006g,
Omega-6 Fats,Lauric Acid (12:0),0.007g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0.023g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),0.06g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),0.027g,
Omega-6 Fats,Arachidic Acid (20:0),--g,
Omega-6 Fats,Behenic Acid (22:0),--g,
Omega-6 Fats,Lignoceric Acid (24:0),--g,
Monounsaturated Fats,Myristoleic Acid (14:1),--g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0.005g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),0.056g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),--g,
Monounsaturated Fats,Docosenoic Acid (22:1),--g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),--g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),0.006g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0.003g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),--g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),--g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),--g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,--g,
Phytosterols (Plant Sterols),Stigmasterol,--g,
Phytosterols (Plant Sterols),Campesterol,--g,
Phytosterols (Plant Sterols),Beta-sitosterol,--g,
Essential Amino Acids,Histidine,1088mg,155%
Essential Amino Acids,Isoleucine,2427mg,173%
Essential Amino Acids,Leucine,3930mg,144%
Essential Amino Acids,Lysine,3182mg,152%
Essential Amino Acids,Methionine,1006mg,138%
Essential Amino Acids,Phenylalanine,1937mg,221%
Essential Amino Acids,Threonine,1811mg,173%
Essential Amino Acids,Tryptophan,566mg,202%
Essential Amino Acids,Valine,2685mg,148%
Conditionally Essential Amino Acids,Arginine,1452mg,
Conditionally Essential Amino Acids,Cystine,371mg,129%
Conditionally Essential Amino Acids,Glycine,849mg,
Conditionally Essential Amino Acids,Proline,3886mg,
Conditionally Essential Amino Acids,Tyrosine,1937mg,221%
Non-Essential Amino Acids,Alanine,1383mg,
Non-Essential Amino Acids,Aspartic acid,3043mg,
Non-Essential Amino Acids,Betaine,--mg,
Non-Essential Amino Acids,Glutamic acid,8400mg,
Non-Essential Amino Acids,Hydroxyproline,--mg,
Non-Essential Amino Acids,Serine,2182mg,
