Categories,Name,Measurement,Daily Value
Macronutrients,Weight,38g,
Macronutrients,Calories (kcal),86,4%
Macronutrients,Fat,3.5g,5%
Macronutrients,Protein,2.6g,5%
Macronutrients,Carbohydrate,10.9g,4%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,--g,--%
Macronutrients,Cholesterol,22mg,7%
Macronutrients,Saturated Fats,0.7g,3%
Macronutrients,Net-Carbs,10.9g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,59.7mg,5%
Minerals,"Iron, Fe",0.65mg,4%
Minerals,"Potassium, K",55.1mg,1%
Minerals,Magnesium,5.7mg,1%
Minerals,"Phosphorus, P",52.8mg,4%
Minerals,Sodium,198.4mg,8%
Minerals,"Zinc, Zn",0.24mg,2%
Minerals,"Copper, Cu",0.02mg,2%
Minerals,Manganese,0.08mg,3%
Minerals,"Selenium, Se",5.7mcg,10%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",11.4mcg,1%
Vitamins,Vitamin C,0.15mg,0%
Vitamins,Thiamin (B1),0.08mg,6%
Vitamins,Riboflavin (B2),0.11mg,9%
Vitamins,Niacin (B3),0.6mg,4%
Vitamins,Vitamin B5 (PA),0.16mg,3%
Vitamins,Vitamin B6,0.02mg,1%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),14.4mcg,4%
Vitamins,Folic acid,9.5mcg,2%
Vitamins,Food Folate,4.9mcg,1%
Vitamins,Folate DFE,21.3mcg,5%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0.07mcg,3%
Vitamins,Retinol,11mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",39.9IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,20g,
Other,Ash,0.84g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,1.13,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.897g,
Fats,Total Polyunsaturated,1.705g,
Fats,Omega 3s,0.193g,12%
Fats,Omega 6s,1.502g,9%
Fats,Omega 3 to Omega 6 Ratio,0.13,
Fats,Omega 6 to Omega 3 Ratio,7.77,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
