Categories,Name,Measurement,Daily Value
Macronutrients,Weight,2259g,
Macronutrients,Calories (kcal),4947,247%
Macronutrients,Fat,277.6g,356%
Macronutrients,Protein,610.6g,1221%
Macronutrients,Carbohydrate,0g,0%
Macronutrients,Sugars,0g,0%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,1739.4mg,580%
Macronutrients,Saturated Fats,107g,535%
Macronutrients,Net-Carbs,0g,
Macronutrients,Trans Fatty Acids,13.5g,
Minerals,Calcium,248.5mg,19%
Minerals,"Iron, Fe",53.1mg,295%
Minerals,"Potassium, K",6664.1mg,142%
Minerals,Magnesium,542.2mg,129%
Minerals,"Phosphorus, P",3840.3mg,307%
Minerals,Sodium,1581.3mg,66%
Minerals,"Zinc, Zn",140.1mg,1273%
Minerals,"Copper, Cu",1.9mg,208%
Minerals,Manganese,1.9mg,82%
Minerals,"Selenium, Se",598.6mcg,1088%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",45.2mcg,5%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),1.8mg,151%
Vitamins,Riboflavin (B2),7.5mg,573%
Vitamins,Niacin (B3),128.4mg,803%
Vitamins,Vitamin B5 (PA),15.6mg,312%
Vitamins,Vitamin B6,13.2mg,776%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),158.1mcg,40%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,158.1mcg,40%
Vitamins,Folate DFE,158.1mcg,40%
Vitamins,Choline,1251.5mg,228%
Vitamins,Vitamin B12,52.2mcg,2174%
Vitamins,Retinol,45.2mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",158.1IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,1.6mg,11%
Vitamins,Vitamin D,2.3mcg,11%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,2.3mcg,
Vitamins,Vitamin D (IU),90.4IU,11%
Vitamins,Vitamin K,36.1mcg,30%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,1362.2g,
Other,Ash,25g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,283.19,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
