Categories,Name,Measurement,Daily Value
Macronutrients,Weight,454g,
Macronutrients,Calories (kcal),1016,51%
Macronutrients,Fat,38g,49%
Macronutrients,Protein,157.5g,315%
Macronutrients,Carbohydrate,0g,0%
Macronutrients,Sugars,0g,0%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,480.8mg,160%
Macronutrients,Saturated Fats,14.4g,72%
Macronutrients,Net-Carbs,0g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,68mg,5%
Minerals,"Iron, Fe",13.8mg,77%
Minerals,"Potassium, K",1247.4mg,27%
Minerals,Magnesium,104.3mg,25%
Minerals,"Phosphorus, P",966.2mg,77%
Minerals,Sodium,254mg,11%
Minerals,"Zinc, Zn",37.2mg,338%
Minerals,"Copper, Cu",0.59mg,65%
Minerals,Manganese,0.05mg,2%
Minerals,"Selenium, Se",157.4mcg,286%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.32mg,26%
Vitamins,Riboflavin (B2),1mg,81%
Vitamins,Niacin (B3),23.8mg,149%
Vitamins,Vitamin B5 (PA),3.1mg,62%
Vitamins,Vitamin B6,1.6mg,92%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),54.4mcg,14%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,54.4mcg,14%
Vitamins,Folate DFE,54.4mcg,14%
Vitamins,Choline,599.7mg,109%
Vitamins,Vitamin B12,12.2mcg,508%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,2.1mg,14%
Vitamins,Vitamin D,0.45mcg,2%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,0.45mcg,
Vitamins,Vitamin D (IU),22.7IU,3%
Vitamins,Vitamin K,7.7mcg,6%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,255.8g,
Other,Ash,5g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,82.97,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,16.153g,
Fats,Total Polyunsaturated,1.397g,
Fats,Omega 3s,0.091g,6%
Fats,Omega 6s,1.08g,6%
Fats,Omega 3 to Omega 6 Ratio,0.08,
Fats,Omega 6 to Omega 3 Ratio,11.9,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0.014g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0.068g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0.005g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0.018g,
Omega-6 Fats,Lauric Acid (12:0),0.036g,
