Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),452,23%
Macronutrients,Fat,35.6g,46%
Macronutrients,Protein,30.5g,61%
Macronutrients,Carbohydrate,2.2g,1%
Macronutrients,Sugars,2.2g,4%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,105mg,35%
Macronutrients,Saturated Fats,24.6g,123%
Macronutrients,Net-Carbs,2.2g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,895mg,69%
Minerals,"Iron, Fe",1.9mg,10%
Minerals,"Potassium, K",48mg,1%
Minerals,Magnesium,54mg,13%
Minerals,"Phosphorus, P",729mg,58%
Minerals,Sodium,423mg,18%
Minerals,"Zinc, Zn",1.6mg,14%
Minerals,"Copper, Cu",0.63mg,70%
Minerals,Manganese,0.25mg,11%
Minerals,"Selenium, Se",5.5mcg,10%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",486mcg,54%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.14mg,12%
Vitamins,Riboflavin (B2),1.2mg,92%
Vitamins,Niacin (B3),2.4mg,15%
Vitamins,Vitamin B5 (PA),0.41mg,8%
Vitamins,Vitamin B6,0.08mg,5%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),4mcg,1%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,4mcg,1%
Vitamins,Folate DFE,4mcg,1%
Vitamins,Choline,15.4mg,3%
Vitamins,Vitamin B12,0.12mcg,5%
Vitamins,Retinol,478mcg,
Vitamins,"Carotene, beta",91mcg,1%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",1745IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,0.31mg,2%
Vitamins,Vitamin D,0.7mcg,3%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,0.7mcg,
Vitamins,Vitamin D (IU),26IU,3%
Vitamins,Vitamin K,3mcg,3%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,29g,
Other,Ash,4g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,27.86,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,8.117g,
Fats,Total Polyunsaturated,0.845g,
Fats,Omega 3s,0g,0%
Fats,Omega 6s,0.845g,5%
Fats,Omega 3 to Omega 6 Ratio,0,
Fats,Omega 6 to Omega 3 Ratio,--,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),1.784g,
Omega-6 Fats,Caproic (6:0),0.782g,
Omega-6 Fats,Caprylic Acid (8:0),0.961g,
Omega-6 Fats,Capric Acid (10:0),3.432g,
Omega-6 Fats,Lauric Acid (12:0),1.572g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),3.609g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),9.312g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),3.158g,
Omega-6 Fats,Arachidic Acid (20:0),--g,
Omega-6 Fats,Behenic Acid (22:0),--g,
